LRI	LIGAND_1	LIGAND_2	RECEPTOR_1	RECEPTOR_2	RECEPTOR_3	DATABASE	SOURCE
CCL5:ACKR2	CCL5	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9405404
CCL7:ACKR2	CCL7	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9364936;PMID:9405404
CCL8:ACKR2	CCL8	NA	ACKR2	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10699158;PMID:22633458;PMID:24218476;PMID:26740381;PMID:9405404
CXCL11:ACKR3	CXCL11	NA	ACKR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;IUPHAR;KEGG:hsa04060;KEGG:NicheNet;PMID:20161793;PMID:22633458;PMID:24218476;PMID:27875312;PMID:29180449;PMID:29386406
CXCL12:ACKR3	CXCL12	NA	ACKR3	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPMR;IUPHAR;KEGG:hsa04060;KEGG:NicheNet;PMID:16107333;PMID:20161793;PMID:20956518;PMID:22633458;PMID:23396314;PMID:24218476
MIF:ACKR3	MIF	NA	ACKR3	NA	NA	CellChat	PMID:26175090
TFF3:ACKR3	TFF3	NA	ACKR3	NA	NA	connectomeDB2020	PMID:26780310
CCL1:ACKR4	CCL1	NA	ACKR4	NA	NA	CellChat	KEGG:hsa04060
CCL11:ACKR4	CCL11	NA	ACKR4	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10734104
CCL13:ACKR4	CCL13	NA	ACKR4	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10734104;PMID:26740381
CCL19:ACKR4	CCL19	NA	ACKR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;IUPHAR;KEGG:hsa04060;PMID:10706668;PMID:11;PMID:22633458;PMID:23341447
CCL2:ACKR4	CCL2	NA	ACKR4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10734104
CCL20:ACKR4	CCL20	NA	ACKR4	NA	NA	connectomeDB2020	PMID:32533638
CCL21:ACKR4	CCL21	NA	ACKR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;IUPHAR;KEGG:hsa04060;PMID:10706668;PMID:11;PMID:22633458;PMID:23341447
CCL25:ACKR4	CCL25	NA	ACKR4	NA	NA	CellChat;CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;NicheNet;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;IUPHAR;KEGG:hsa04060;PMID:10706668;PMID:11;PMID:22633458;PMID:23341447
CCL5:ACKR4	CCL5	NA	ACKR4	NA	NA	CellPhoneDB;CellTalkDB;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:12885941;PMID:21056554;PMID:9469451
CCL7:ACKR4	CCL7	NA	ACKR4	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10734104
CCL8:ACKR4	CCL8	NA	ACKR4	NA	NA	CellChat;CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:10734104;PMID:26740381
CXCL13:ACKR4	CXCL13	NA	ACKR4	NA	NA	CellPhoneDB;CellTalkDB;connectomeDB2020;ICELLNET;SingleCellSignalR	CellPhoneDB;FANTOM5;HPRD;PMID:10706668;PMID:22633458;PMID:24218476;PMID:706668
BMP3:ACVR1B_ACVR2A	BMP3	NA	ACVR1B	ACVR2A	NA	CellPhoneDB	CellPhoneDB
GDF1:ACVR1B_ACVR2A	GDF1	NA	ACVR1B	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
GDF10:ACVR1B_ACVR2A	GDF10	NA	ACVR1B	ACVR2A	NA	CellChat	KEGG:hsa04350
GDF11:ACVR1B_ACVR2A	GDF11	NA	ACVR1B	ACVR2A	NA	CellPhoneDB;ICELLNET	CellPhoneDB;PMID:22710174,27481709
GDF3:ACVR1B_ACVR2A	GDF3	NA	ACVR1B	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
INHBA:ACVR1B_ACVR2A	INHBA	NA	ACVR1B	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:8622651;PMID:8721982
INHBA_INHBB:ACVR1B_ACVR2A	INHBA	INHBB	ACVR1B	ACVR2A	NA	CellPhoneDB;ICELLNET	CellPhoneDB;PMID:8622651;PMID:8721982
INHBB:ACVR1B_ACVR2A	INHBB	NA	ACVR1B	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04352;PMID:8622651;PMID:8721982
INHBC:ACVR1B_ACVR2A	INHBC	NA	ACVR1B	ACVR2A	NA	CellChat	KEGG:hsa04356
INHBE:ACVR1B_ACVR2A	INHBE	NA	ACVR1B	ACVR2A	NA	CellChat	KEGG:hsa04360
MSTN:ACVR1B_ACVR2A	MSTN	NA	ACVR1B	ACVR2A	NA	CellChat;CellPhoneDB	CellPhoneDB;KEGG:hsa04060
NODAL:ACVR1B_ACVR2A	NODAL	NA	ACVR1B	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:17878607
GDF1:ACVR1B_ACVR2B	GDF1	NA	ACVR1B	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
GDF10:ACVR1B_ACVR2B	GDF10	NA	ACVR1B	ACVR2B	NA	CellPhoneDB;ICELLNET	CellPhoneDB;PMID:31416681,17878607
GDF11:ACVR1B_ACVR2B	GDF11	NA	ACVR1B	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:22710174,27481709
GDF3:ACVR1B_ACVR2B	GDF3	NA	ACVR1B	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
INHBA:ACVR1B_ACVR2B	INHBA	NA	ACVR1B	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04351;PMID:8622651;PMID:8721982
INHBA_INHBB:ACVR1B_ACVR2B	INHBA	INHBB	ACVR1B	ACVR2B	NA	CellPhoneDB;ICELLNET	CellPhoneDB;PMID:8622651;PMID:8721982
INHBB:ACVR1B_ACVR2B	INHBB	NA	ACVR1B	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04353;PMID:8622651;PMID:8721982
INHBC:ACVR1B_ACVR2B	INHBC	NA	ACVR1B	ACVR2B	NA	CellChat	KEGG:hsa04357
INHBE:ACVR1B_ACVR2B	INHBE	NA	ACVR1B	ACVR2B	NA	CellChat	KEGG:hsa04361
MSTN:ACVR1B_ACVR2B	MSTN	NA	ACVR1B	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04060;PMID:29409020
NODAL:ACVR1B_ACVR2B	NODAL	NA	ACVR1B	ACVR2B	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:17878607
NODAL:ACVR1B_ACVR2B_TDGF1	NODAL	NA	ACVR1B	ACVR2B	TDGF1	CellPhoneDB	CellPhoneDB
GDF9:ACVR1B_BMPR2	GDF9	NA	ACVR1B	BMPR2	NA	CellChat	KEGG:hsa04350
CFC1:ACVR1B	CFC1	NA	ACVR1B	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
INHA:ACVR1B	INHA	NA	ACVR1B	NA	NA	NicheNet	FANTOM5
LEFTY1:ACVR1B	LEFTY1	NA	ACVR1B	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
LEFTY2:ACVR1B	LEFTY2	NA	ACVR1B	NA	NA	CellTalkDB;SingleCellSignalR	PMID:32196115;reactome
TGFB1:ACVR1B_TGFBR2	TGFB1	NA	ACVR1B	TGFBR2	NA	CellChat	PMID:27449815
TGFB2:ACVR1B_TGFBR2	TGFB2	NA	ACVR1B	TGFBR2	NA	CellChat	PMID:27449815
TGFB3:ACVR1B_TGFBR2	TGFB3	NA	ACVR1B	TGFBR2	NA	CellChat	PMID:27449815
GDF1:ACVR1C_ACVR2A	GDF1	NA	ACVR1C	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
GDF3:ACVR1C_ACVR2A	GDF3	NA	ACVR1C	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
INHBA:ACVR1C_ACVR2A	INHBA	NA	ACVR1C	ACVR2A	NA	CellPhoneDB	CellPhoneDB
INHBA_INHBB:ACVR1C_ACVR2A	INHBA	INHBB	ACVR1C	ACVR2A	NA	CellPhoneDB;ICELLNET	CellPhoneDB;PMID:8622651;PMID:8721982
INHBB:ACVR1C_ACVR2A	INHBB	NA	ACVR1C	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04354;PMID:8622651;PMID:8721982
INHBC:ACVR1C_ACVR2A	INHBC	NA	ACVR1C	ACVR2A	NA	CellChat	KEGG:hsa04358
INHBE:ACVR1C_ACVR2A	INHBE	NA	ACVR1C	ACVR2A	NA	CellChat	KEGG:hsa04362
NODAL:ACVR1C_ACVR2A	NODAL	NA	ACVR1C	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:17878607
GDF1:ACVR1C_ACVR2B	GDF1	NA	ACVR1C	ACVR2B	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
GDF3:ACVR1C_ACVR2B	GDF3	NA	ACVR1C	ACVR2B	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:22710174,27481709
INHBA:ACVR1C_ACVR2B	INHBA	NA	ACVR1C	ACVR2B	NA	CellPhoneDB	CellPhoneDB
INHBA_INHBB:ACVR1C_ACVR2B	INHBA	INHBB	ACVR1C	ACVR2B	NA	CellPhoneDB;ICELLNET	CellPhoneDB;PMID:8622651;PMID:8721982
INHBB:ACVR1C_ACVR2B	INHBB	NA	ACVR1C	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04355;PMID:8622651;PMID:8721982
INHBC:ACVR1C_ACVR2B	INHBC	NA	ACVR1C	ACVR2B	NA	CellChat	KEGG:hsa04359
INHBE:ACVR1C_ACVR2B	INHBE	NA	ACVR1C	ACVR2B	NA	CellChat	KEGG:hsa04363
NODAL:ACVR1C_ACVR2B	NODAL	NA	ACVR1C	ACVR2B	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:17287255;PMID:17878607
TDGF1:ACVR1C	TDGF1	NA	ACVR1C	NA	NA	CellTalkDB;SingleCellSignalR	FANTOM5;HPRD;PMID:11485994
TGFB1:ACVR1C_TGFBR2	TGFB1	NA	ACVR1C	TGFBR2	NA	CellChat	PMID:27449815
TGFB2:ACVR1C_TGFBR2	TGFB2	NA	ACVR1C	TGFBR2	NA	CellChat	PMID:27449815
TGFB3:ACVR1C_TGFBR2	TGFB3	NA	ACVR1C	TGFBR2	NA	CellChat	PMID:27449815
BMP5:ACVR1_ACVR2A	BMP5	NA	ACVR1	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893295;PMID:27481709
BMP6:ACVR1_ACVR2A	BMP6	NA	ACVR1	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893304;PMID:27481709
BMP7:ACVR1_ACVR2A	BMP7	NA	ACVR1	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893313;PMID:27481709
BMP8A:ACVR1_ACVR2A	BMP8A	NA	ACVR1	ACVR2A	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893322;PMID:27481709
BMP8B:ACVR1_ACVR2A	BMP8B	NA	ACVR1	ACVR2A	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:26893331;PMID:27481709
INHBA:ACVR1_ACVR2A	INHBA	NA	ACVR1	ACVR2A	NA	CellPhoneDB	CellPhoneDB
INHBA_INHBB:ACVR1_ACVR2A	INHBA	INHBB	ACVR1	ACVR2A	NA	CellPhoneDB	CellPhoneDB
INHBB:ACVR1_ACVR2A	INHBB	NA	ACVR1	ACVR2A	NA	CellPhoneDB	CellPhoneDB
BMP5:ACVR1_ACVR2B	BMP5	NA	ACVR1	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893296;PMID:27481709
BMP6:ACVR1_ACVR2B	BMP6	NA	ACVR1	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893305;PMID:27481709
BMP7:ACVR1_ACVR2B	BMP7	NA	ACVR1	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893314;PMID:27481709
BMP8A:ACVR1_ACVR2B	BMP8A	NA	ACVR1	ACVR2B	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893323;PMID:27481709
BMP8B:ACVR1_ACVR2B	BMP8B	NA	ACVR1	ACVR2B	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:26893332;PMID:27481709
INHBA:ACVR1_ACVR2B	INHBA	NA	ACVR1	ACVR2B	NA	CellPhoneDB	CellPhoneDB
INHBA_INHBB:ACVR1_ACVR2B	INHBA	INHBB	ACVR1	ACVR2B	NA	CellPhoneDB	CellPhoneDB
INHBB:ACVR1_ACVR2B	INHBB	NA	ACVR1	ACVR2B	NA	CellPhoneDB	CellPhoneDB
AMH:AMHR2_ACVR1	AMH	NA	AMHR2	ACVR1	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04060;PMID:32333774
BMP10:ACVR1	BMP10	NA	ACVR1	NA	NA	NicheNet	FANTOM5
BMP15:ACVR1	BMP15	NA	ACVR1	NA	NA	NicheNet	FANTOM5
BMP2:ACVR1	BMP2	NA	ACVR1	NA	NA	CellTalkDB;NicheNet;SingleCellSignalR	FANTOM5;HPRD;KEGG:NicheNet;PMID:28977600;PMID:8006002
BMP3:ACVR1	BMP3	NA	ACVR1	NA	NA	NicheNet	FANTOM5
BMP4:ACVR1	BMP4	NA	ACVR1	NA	NA	NicheNet	FANTOM5
BMP5:ACVR1_BMPR2	BMP5	NA	ACVR1	BMPR2	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893297;PMID:27481709
BMP6:ACVR1_BMPR2	BMP6	NA	ACVR1	BMPR2	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893306;PMID:27481709
BMP7:ACVR1_BMPR2	BMP7	NA	ACVR1	BMPR2	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893315;PMID:27481709
BMP8A:ACVR1_BMPR2	BMP8A	NA	ACVR1	BMPR2	NA	CellChat;CellPhoneDB;ICELLNET	CellPhoneDB;KEGG:hsa04350;PMID:26893324;PMID:27481709
BMP8B:ACVR1_BMPR2	BMP8B	NA	ACVR1	BMPR2	NA	CellChat;ICELLNET	KEGG:hsa04350;PMID:26893333;PMID:27481709
GDF1:ACVR1	GDF1	NA	ACVR1	NA	NA	connectomeDB2020	PMID:28955827
GDF2:ACVR1	GDF2	NA	ACVR1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;PMID:19996292
GDF5:ACVR1	GDF5	NA	ACVR1	NA	NA	CellTalkDB;connectomeDB2020;SingleCellSignalR	FANTOM5;HPRD;PMID:8702914
INHA:ACVR1	INHA	NA	ACVR1	NA	NA	CellTalkDB;NicheNet;SingleCellSignalR	FANTOM5;HPMR;PMID:29747587;PMID:32196115
INHBC:ACVR1	INHBC	NA	ACVR1	NA	NA	CellTalkDB;NicheNet;SingleCellSignalR	FANTOM5;HPRD;KEGG:NicheNet;PMID:12651901;PMID:26198319;PMID:32196115
INHBE:ACVR1	INHBE	NA	ACVR1	NA	NA	NicheNet	KEGG:NicheNet
TGFB1:ACVR1_TGFBR1	TGFB1	NA	ACVR1	TGFBR1	NA	CellChat	PMID:29376829
TGFB1:TGFBR2_ACVR1	TGFB1	NA	TGFBR2	ACVR1	NA	CellPhoneDB	CellPhoneDB
TGFB2:ACVR1_TGFBR1	TGFB2	NA	ACVR1	TGFBR1	NA	CellChat	PMID:29376829
TGFB2:TGFBR2_ACVR1	TGFB2	NA	TGFBR2	ACVR1	NA	CellPhoneDB	CellPhoneDB
